    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0001   1.932E-01   0.3106   0.4000   5.540E-02   4.99981737E-02   1.50148972E-03
      20       3.86384    28.5171   1.932E-01   0.2268   0.4000   9.385E-16   2.81999724E-02   6.42500256E-04
      40       7.72767    26.4049   1.932E-01   0.2264   0.4000   9.312E-16   2.81999722E-02   6.39805778E-04
      60       11.5915    26.7851   1.932E-01   0.2261   0.4000   8.901E-16   2.81999721E-02   6.37761032E-04
      80       15.4553    26.7692   1.932E-01   0.2260   0.4000   9.142E-16   2.81999720E-02   6.36051024E-04
     100       19.3192    26.4613   1.932E-01   0.2257   0.4000   8.777E-16   2.81999719E-02   6.34554366E-04
     120        23.183    26.4235   1.932E-01   0.2256   0.4000   9.213E-16   2.81999719E-02   6.33208920E-04
     140       27.0469    26.5781   1.932E-01   0.2254   0.4000   8.924E-16   2.81999718E-02   6.31977795E-04
     160       30.7728    26.4541   1.932E-01   0.2253   0.4000   9.467E-16   2.81999718E-02   6.30876331E-04
     180       34.6366    26.4281   1.932E-01   0.2251   0.4000   9.742E-16   2.81999717E-02   6.29806677E-04
     200       38.5004    26.4862   1.932E-01   0.2251   0.4000   9.624E-16   2.81999717E-02   6.28798806E-04
     220       42.3643    26.4975   1.932E-01   0.2249   0.4000   9.362E-16   2.81999717E-02   6.27843427E-04
     240       46.2281    26.8368   1.932E-01   0.2249   0.4000   9.250E-16   2.81999716E-02   6.26933318E-04
     260        50.092    26.5654   1.932E-01   0.2248   0.4000   8.992E-16   2.81999716E-02   6.26062727E-04
     280       53.9558    26.4942   1.932E-01   0.2247   0.4000   8.801E-16   2.81999716E-02   6.25226984E-04
     300       57.8196    26.4723   1.932E-01   0.2246   0.4000   9.086E-16   2.81999716E-02   6.24422230E-04
     320       61.5455    28.6679   1.932E-01   0.2246   0.4000   9.173E-16   2.81999715E-02   6.23672526E-04
     340       65.4094    26.6948   1.932E-01   0.2245   0.4000   9.372E-16   2.81999715E-02   6.22919698E-04
     360       69.2732    26.6788   1.932E-01   0.2244   0.4000   9.516E-16   2.81999715E-02   6.22189613E-04
     380        73.137    27.7587   1.932E-01   0.2244   0.4000   9.158E-16   2.81999715E-02   6.21480226E-04
     400       77.0009    29.7477   1.932E-01   0.2243   0.4000   9.116E-16   2.81999715E-02   6.20789750E-04
     420       80.8647    27.3568   1.932E-01   0.2242   0.4000   8.484E-16   2.81999715E-02   6.20116612E-04
     440       84.7286    29.7393   1.932E-01   0.2242   0.4000   9.300E-16   2.81999715E-02   6.19459421E-04
     460       88.5924    27.7354   1.932E-01   0.2242   0.4000   9.567E-16   2.81999714E-02   6.18816933E-04
     480       92.3183    27.0134   1.932E-01   0.2240   0.4000   9.459E-16   2.81999714E-02   6.18210261E-04
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0002   1.932E-01   0.3106   0.4000   5.406E-02   4.99981773E-02   1.50148779E-03
      20       3.86384    10.5921   1.932E-01   0.2268   0.4000   9.545E-16   2.82000084E-02   6.42499931E-04
      40       7.72767    10.2675   1.932E-01   0.2265   0.4000   9.836E-16   2.82000083E-02   6.39805465E-04
      60       11.5915    10.7033   1.932E-01   0.2261   0.4000   8.751E-16   2.82000082E-02   6.37760729E-04
      80       15.4553    14.0624   1.932E-01   0.2259   0.4000   8.795E-16   2.82000081E-02   6.36050728E-04
     100       19.3192    11.9248   1.932E-01   0.2257   0.4000   9.186E-16   2.82000081E-02   6.34554075E-04
     120        23.183    12.3607   1.932E-01   0.2255   0.4000   9.262E-16   2.82000081E-02   6.33208634E-04
     140       27.0469    13.8926   1.932E-01   0.2254   0.4000   8.969E-16   2.82000080E-02   6.31977513E-04
     160       30.7728    11.9450   1.932E-01   0.2253   0.4000   9.227E-16   2.82000080E-02   6.30876051E-04
     180       34.6366    12.1022   1.932E-01   0.2252   0.4000   9.244E-16   2.82000080E-02   6.29806400E-04
     200       38.5004    12.1433   1.932E-01   0.2251   0.4000   9.299E-16   2.82000080E-02   6.28798531E-04
     220       42.3643    12.5143   1.932E-01   0.2249   0.4000   9.606E-16   2.82000080E-02   6.27843154E-04
